ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
260,7/27/2024 12:22:14 PM,Orange,2,VIENNA,Farragut West- Track 2;  motion;,C03-C2-41
254,7/27/2024 12:22:14 PM,Yellow,1,MT VERNON SQ,Mt Vernon Sq- Track 1; ,E01-E3-37
264,7/27/2024 12:22:14 PM,Silver,1,LARGO TOWN CENTER,,G05-G1-607
270,7/27/2024 12:22:14 PM,Blue,2,FRANCONIA-SPRINGFIELD,Federal Triangle- Track 2;  Doors open left,D01-D2-16
232,7/27/2024 12:22:13 PM,Red,2,SHADY GROVE,North Bethesda- Track 2;  Doors operating manually; Doors open left,A12-A2-635
321,7/27/2024 12:22:14 PM,Green,2,BRANCH AVE,Congress Heights- Track 2; ,F07-F2-257
260,7/27/2024 12:22:19 PM,Orange,2,VIENNA,Farragut West- Track 2;  motion;,C03-C2-41
254,7/27/2024 12:22:19 PM,Yellow,1,MT VERNON SQ,Mt Vernon Sq- Track 1; ,E01-E3-37
264,7/27/2024 12:22:19 PM,Silver,1,LARGO TOWN CENTER,,G05-G1-610
270,7/27/2024 12:22:19 PM,Blue,2,FRANCONIA-SPRINGFIELD,Federal Triangle- Track 2;  Doors open left,D01-D2-16
232,7/27/2024 12:22:18 PM,Red,2,SHADY GROVE,North Bethesda- Track 2;  Doors operating manually; Doors open left,A12-A2-635
321,7/27/2024 12:22:19 PM,Green,2,BRANCH AVE,Congress Heights- Track 2; ,F07-F2-257
260,7/27/2024 12:22:24 PM,Orange,2,VIENNA,Farragut West- Track 2;  motion;,C03-C2-41
254,7/27/2024 12:22:24 PM,Yellow,1,MT VERNON SQ,,E01-E3-37
264,7/27/2024 12:22:24 PM,Silver,1,LARGO TOWN CENTER,,G05-G1-612
270,7/27/2024 12:22:24 PM,Blue,2,FRANCONIA-SPRINGFIELD,Federal Triangle- Track 2; ,D01-D2-16
232,7/27/2024 12:22:23 PM,Red,2,SHADY GROVE,North Bethesda- Track 2;  Doors operating manually; Doors open left,A12-A2-635
321,7/27/2024 12:22:24 PM,Green,2,BRANCH AVE,Congress Heights- Track 2; ,F07-F2-261
260,7/27/2024 12:22:29 PM,Orange,2,VIENNA,Farragut West- Track 2;  Doors open right,C03-C2-41
254,7/27/2024 12:22:29 PM,Yellow,1,MT VERNON SQ,,E01-E3-37
264,7/27/2024 12:22:29 PM,Silver,1,LARGO TOWN CENTER,,G05-G1-612
270,7/27/2024 12:22:29 PM,Blue,2,FRANCONIA-SPRINGFIELD,Federal Triangle- Track 2; ,D01-D2-16
232,7/27/2024 12:22:28 PM,Red,2,SHADY GROVE,North Bethesda- Track 2;  Doors operating manually; Doors open left,A12-A2-635
321,7/27/2024 12:22:29 PM,Green,2,BRANCH AVE,,F07-F2-264
260,7/27/2024 12:22:34 PM,Orange,2,VIENNA,Farragut West- Track 2;  Doors open right,C03-C2-41
