TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Silver,1,Federal Center SW,25,-8573244.423,4705215.746
Green,2,Waterfront,8,-8573287.281,4703983.652
Red,1,New York Avenue,19,-8571961.912,4708301.641
Blue,1,Arlington Cemetery,10,-8578622.491,4705154.538
Orange,2,Farragut West,11,-8576105.446,4707552.215
Silver,1,Federal Center SW,25,-8573375.001,4705215.746
Blue,2,Arlington Cemetery,10,-8578567.387,4705028.262
Blue,2,Arlington Cemetery,10,-8578536.441,4704964.625
Orange,1,Farragut West,11,-8576105.334,4707546.779
Orange,1,Farragut West,11,-8575904.848,4707546.779
Silver,2,Federal Center SW,25,-8573376.448,4705230.19
Silver,2,Federal Center SW,25,-8573376.448,4705230.19
Red,2,New York Avenue,19,-8571976.828,4708306.934
Red,1,Dupont Circle,13,-8576285.004,4708382.18
Red,1,New York Avenue,19,-8571919.833,4708451.561
Red,1,Dupont Circle,13,-8576324.3,4708474.307
Orange,1,Farragut West,11,-8575764.474,4707546.779
Red,1,New York Avenue,19,-8571871.52,4708577.45
Green,2,Waterfront,8,-8573555.45,4703983.08
Green,1,Waterfront,8,-8573555.561,4703997.666
Red,1,Dupont Circle,13,-8576375.729,4708595.189
Red,1,Dupont Circle,13,-8576456.436,4708774.012
Blue,2,Arlington Cemetery,10,-8578488.685,4704873.53
Orange,2,McPherson Square,12,-8575652.375,4707552.215
Silver,2,Federal Center SW,25,-8573574.152,4705229.761
Red,2,Dupont Circle,13,-8576451.427,4708776.158
Red,2,Dupont Circle,13,-8576523.116,4708934.669
Red,2,Dupont Circle,13,-8576537.922,4708967.43
Red,2,Dupont Circle,13,-8576612.172,4709131.81
Silver,2,Federal Center SW,25,-8573640.387,4705224.756
Red,2,Rhode Island Avenue,20,-8571269.393,4710022.282
Red,2,Rhode Island Avenue,20,-8571203.047,4710207.998
Red,1,Rhode Island Avenue,20,-8571141.487,4710347.358
Green,1,Waterfront,8,-8573701.501,4703997.38
Orange,2,McPherson Square,12,-8575322.87,4707552.215
Blue,2,Arlington Cemetery,10,-8578435.363,4704785.726
Orange,1,McPherson Square,12,-8575322.647,4707546.636
Silver,1,L Enfant Plaza Lower,24,-8573744.248,4705195.01
Red,2,Rhode Island Avenue,20,-8571156.626,4710352.08
Blue,2,Rosslyn,11,-8579494.345,4706789.971
Green,1,Waterfront,8,-8573843.768,4704006.245
Red,1,Rhode Island Avenue,20,-8571081.708,4710534.94
Blue,2,Rosslyn,11,-8579489.558,4706662.817
Orange,1,McPherson Square,12,-8575154.221,4707546.636
Red,1,Rhode Island Avenue,20,-8571039.184,4710695.196
Green,1,Gallery Place,11,-8574031.341,4707443.074
Yellow,1,Gallery Place,12,-8574031.341,4707443.074
Green,1,Gallery Place,11,-8574031.452,4707125.386
Yellow,1,Gallery Place,12,-8574031.452,4707125.386
Green,1,Archives,10,-8574032.343,4706553.4
Green,1,Archives,10,-8574032.343,4706668.252
Yellow,1,Archives,11,-8574032.343,4706553.4
Yellow,1,Archives,11,-8574032.343,4706668.252
Green,1,Archives,10,-8574032.454,4706388.49
Yellow,1,Archives,11,-8574032.454,4706388.49
Green,1,Mt Vernon Sq,12,-8574033.79,4708298.78
Green,1,Mt Vernon Sq,12,-8574033.79,4708432.821
Green,1,Mt Vernon Sq,12,-8574033.79,4708591.756
Yellow,1,Mt Vernon Sq,13,-8574033.79,4708298.78
Green,1,Mt Vernon Sq,12,-8574033.901,4708746.545
Green,1,Shaw/Howard U,13,-8574034.013,4709291.328
Green,1,Shaw/Howard U,13,-8574034.792,4709492.768
