TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Orange,2,Eastern Market,19,-8571448.283,4705303.697
Silver,1,Rosslyn,17,-8579482.99,4707043.569
Blue,1,Capitol Heights,25,-8561168.04,4705636.345
Blue,2,Addison Road,26,-8560008.425,4705466.015
Blue,2,Addison Road,26,-8559816.955,4705467.016
Blue,1,Addison Road,26,-8559815.731,4705452.572
Blue,1,Addison Road,26,-8559650.532,4705453.43
Orange,2,Eastern Market,19,-8571352.66,4705266.514
Orange,1,Eastern Market,19,-8571167.313,4705153.251
Silver,2,Rosslyn,17,-8579494.345,4706789.971
Blue,1,Addison Road,26,-8559548.675,4705453.859
Orange,2,Eastern Market,19,-8571160.522,4705165.979
Yellow,1,Eisenhower Avenue,2,-8579517.277,4693115.066
Yellow,2,Eisenhower Avenue,2,-8579521.173,4693118.923
Silver,2,Rosslyn,17,-8579529.522,4706420.957
Yellow,2,Eisenhower Avenue,2,-8579675.573,4692955.23
Yellow,1,Huntington,1,-8579929.827,4692531.585
Yellow,1,Huntington,1,-8579939.066,4692461.026
Yellow,1,Huntington,1,-8579958.881,4692308.342
Yellow,1,Huntington,1,-8579974.577,4692310.342
Yellow,1,Huntington,1,-8579975.356,4692181.512
Yellow,2,Huntington,1,-8579975.356,4692181.512
Yellow,1,Huntington,1,-8579991.052,4692183.654
Yellow,2,Huntington,1,-8579991.052,4692183.654
Yellow,2,Huntington,1,-8580012.314,4691896.578
Red,2,Friendship Heights,8,-8581156.011,4716105.307
Red,2,Friendship Heights,8,-8581217.459,4716260.21
Red,2,Takoma,23,-8573467.174,4717881.97
Red,2,Takoma,23,-8573512.592,4718012.988
Red,2,Takoma,23,-8573532.296,4718021.865
Red,2,Takoma,23,-8573562.686,4718090.024
Silver,1,Court House,16,-8580913.446,4706119.748
Red,2,Takoma,23,-8573625.804,4718234.218
Red,1,Takoma,23,-8573625.804,4718234.218
Red,1,Takoma,23,-8573611.221,4718240.662
Orange,1,Eastern Market,19,-8571052.988,4705093.474
Red,2,Takoma,23,-8573611.221,4718240.662
Red,1,Takoma,23,-8573676.9,4718351.351
Silver,1,Court House,16,-8581162.133,4706013.483
Red,1,Takoma,23,-8573693.598,4718428.533
Orange,1,Eastern Market,19,-8571016.475,4705074.311
Silver,1,Court House,16,-8581298.055,4705942.688
Orange,1,Eastern Market,19,-8570963.71,4705046.71
Silver,2,Court House,16,-8581299.947,4705957.991
Silver,2,Court House,16,-8581455.794,4705877.043
Orange,2,Potomac Avenue,20,-8570241.246,4704695.062
Silver,2,Court House,16,-8581561.103,4705822.267
Orange,1,Potomac Avenue,20,-8569995.675,4704671.61
Silver,1,Clarendon,15,-8581953.838,4705621.471
Red,1,Bethesda,7,-8581956.287,4719025.39
Red,1,Bethesda,7,-8581988.458,4719126.779
Red,1,Bethesda,7,-8582033.208,4719273.995
Red,2,Bethesda,7,-8582019.516,4719278.577
Silver,1,Clarendon,15,-8582039.108,4705571.845
Red,2,Bethesda,7,-8582088.423,4719507.712
Silver,1,Clarendon,15,-8582090.093,4705540.525
Red,2,Bethesda,7,-8582127.719,4719691.167
Orange,2,Potomac Avenue,20,-8569995.675,4704686.053
Silver,1,Clarendon,15,-8582223.899,4705458.579
Orange,1,Potomac Avenue,20,-8569615.965,4704730.813
Silver,2,Clarendon,15,-8582226.793,4705463.298
Red,1,Medical Center,6,-8582349.578,4721069.404
Red,1,Medical Center,6,-8582358.818,4721178.548
Red,1,Medical Center,6,-8582364.495,4721245.582
Red,1,Medical Center,6,-8582368.28,4721289.412
Red,1,Medical Center,6,-8582379.078,4721417.179
Silver,2,Clarendon,15,-8582372.733,4705373.915
Red,2,Medical Center,6,-8582364.718,4721418.182
Red,2,Medical Center,6,-8582379.412,4721590.642
Red,2,Medical Center,6,-8582392.77,4721747.777
Orange,2,Stadium,21,-8569057.475,4705171.127
Silver,2,Clarendon,15,-8582563.868,4705258.22
Silver,1,Virginia Square,14,-8582760.347,4705147.531
Orange,2,Stadium,21,-8569056.584,4705487.61
Silver,1,Virginia Square,14,-8582906.955,4705070.45
Red,1,Grosvenor,5,-8583053.674,4725387.65
Orange,2,Stadium,21,-8569055.36,4705321.573
Silver,1,Virginia Square,14,-8583067.478,4704985.933
Red,1,Grosvenor,5,-8583068.48,4725511.6
Orange,1,Stadium,21,-8569040.777,4705487.753
Silver,2,Virginia Square,14,-8583070.595,4704990.509
Red,1,Grosvenor,5,-8583116.013,4725707.057
Red,1,Grosvenor,5,-8583199.058,4725928.169
Red,2,Grosvenor,5,-8583184.252,4725933.901
Orange,1,Stadium,21,-8569037.771,4705749.185
Red,2,Grosvenor,5,-8583247.036,4726099.129
Orange,2,Minnesota Avenue,22,-8565961.346,4706952.17
Silver,2,Virginia Square,14,-8583277.649,4704885.543
Red,2,Grosvenor,5,-8583317.279,4726283.993
Silver,1,Ballston,13,-8583849.943,4704830.343
Silver,1,Ballston,13,-8583923.97,4704826.911
Orange,2,Minnesota Avenue,22,-8565877.856,4707037.562
Silver,1,Ballston,13,-8584018.592,4704823.765
Red,1,North Bethesda,4,-8584045.976,4728224.694
Red,1,North Bethesda,4,-8584120.672,4728424.361
Red,1,North Bethesda,4,-8584196.591,4728623.888
Red,2,North Bethesda,4,-8584181.675,4728629.335
Orange,2,Minnesota Avenue,22,-8565795.368,4707122.811
Silver,1,Ballston,13,-8584203.827,4704817.616
Orange,2,Minnesota Avenue,22,-8565677.926,4707244.107
Silver,2,Ballston,13,-8584204.829,4704823.05
Red,2,North Bethesda,4,-8584265.053,4728850.224
Orange,1,Minnesota Avenue,22,-8565666.572,4707232.95
Orange,1,Minnesota Avenue,22,-8565455.733,4707450.798
Silver,2,Ballston,13,-8584505.726,4704812.754
Red,1,Twinbrook,3,-8584859.165,4730398.446
Red,1,Twinbrook,3,-8584968.926,4730505.254
Red,1,Twinbrook,3,-8585100.283,4730650.772
Red,2,Twinbrook,3,-8585088.595,4730661.668
Red,2,Twinbrook,3,-8585174.199,4730756.865
Red,2,Twinbrook,3,-8585202.697,4730788.693
Red,2,Twinbrook,3,-8585247.559,4730838.586
Red,2,Twinbrook,3,-8585353.424,4730956.438
Blue,1,Addison Road,26,-8559392.828,4705455.861
Blue,2,Morgan Blvd,27,-8557148.293,4706370.898
Blue,2,Morgan Blvd,27,-8557040.313,4706424.962
Blue,2,Morgan Blvd,27,-8556877.675,4706506.487
Blue,1,Morgan Blvd,27,-8556870.662,4706492.327
Blue,1,Morgan Blvd,27,-8556720.269,4706567.703
Red,1,Rockville,2,-8587505.786,4733343.016
Red,1,Rockville,2,-8587625.343,4733473.66
Red,1,Rockville,2,-8587745.457,4733594.841
Red,1,Rockville,2,-8587880.821,4733744.563
Red,2,Rockville,2,-8587869.021,4733755.319
Red,2,Rockville,2,-8588013.514,4733916.372
Red,2,Rockville,2,-8588125.724,4734062.226
Silver,1,East Falls Church,12,-8588753.344,4705211.456
Silver,1,East Falls Church,12,-8588816.907,4705239.2
Orange,2,Deanwood,23,-8564541.243,4708385.327
Silver,1,East Falls Church,12,-8588907.966,4705278.956
Orange,2,Deanwood,23,-8564387.845,4708538.682
Silver,2,East Falls Church,12,-8589069.046,4705366.479
Orange,1,Deanwood,23,-8564378.494,4708529.24
Silver,1,East Falls Church,12,-8589074.946,4705351.749
Orange,1,Deanwood,23,-8564119.453,4708779.019
Silver,2,East Falls Church,12,-8589343.448,4705488.468
Red,1,Shady Grove,1,-8589725.942,4738517.877
Red,1,Shady Grove,1,-8589799.413,4738634.957
Red,1,Shady Grove,1,-8589815.554,4738677.284
Red,1,Shady Grove,1,-8589843.829,4738706.555
Red,1,Shady Grove,1,-8589829.246,4738715.738
Red,1,Shady Grove,1,-8589939.007,4738860.082
Red,2,Shady Grove,1,-8589939.007,4738860.082
Red,1,Shady Grove,1,-8589924.425,4738869.265
Red,2,Shady Grove,1,-8589924.425,4738869.265
Red,2,Shady Grove,1,-8590023.276,4738995.82
Red,2,Shady Grove,1,-8590009.027,4739005.577
Blue,2,Downtown Largo,28,-8554527.498,4707228.086
Blue,2,Downtown Largo,28,-8554406.16,4707346.665
Blue,2,Downtown Largo,28,-8554313.987,4707436.78
Blue,1,Downtown Largo,28,-8554302.187,4707423.907
Blue,1,Downtown Largo,28,-8554302.187,4707423.907
Blue,1,Downtown Largo,28,-8554144.002,4707578.249
Orange,2,Cheverly,24,-8562510.108,4709663.165
Orange,2,Cheverly,24,-8562325.317,4709740.424
Orange,1,Cheverly,24,-8562322.534,4709735.56
Orange,1,Cheverly,24,-8562159.896,4709803.52
Orange,1,Cheverly,24,-8562089.765,4709832.85
Orange,2,Landover,25,-8559686.043,4711996.794
Silver,1,Mclean,11,-8594794.875,4710972.93
Silver,1,Mclean,11,-8595032.765,4710832.56
Silver,1,Mclean,11,-8595032.765,4710832.56
Silver,2,Mclean,11,-8595041.002,4710846.582
Silver,2,Mclean,11,-8595193.955,4710757.152
Silver,2,Mclean,11,-8595312.511,4710689.615
Silver,1,Tysons,10,-8595978.201,4710359.091
Silver,1,Tysons,10,-8596266.964,4710308.583
Silver,2,Tysons,10,-8596268.856,4710324.751
Silver,2,Tysons,10,-8596505.076,4710293.274
Orange,2,Landover,25,-8559621.812,4712052.605
Orange,2,Landover,25,-8559501.587,4712157.216
Orange,1,Landover,25,-8559491.012,4712145.338
Orange,1,Landover,25,-8559364.553,4712255.245
Silver,1,Greensboro,9,-8597490.588,4710179.096
Silver,2,Greensboro,9,-8597661.352,4710404.877
Silver,1,Greensboro,9,-8597674.487,4710396.292
Silver,2,Greensboro,9,-8597768.107,4710546.244
Silver,1,Spring Hill,8,-8598418.436,4711380.317
Silver,2,Spring Hill,8,-8598521.74,4711541.588
Silver,1,Spring Hill,8,-8598534.208,4711532.143
Silver,2,Spring Hill,8,-8598658.886,4711720.891
Orange,1,Landover,25,-8559288.41,4712323.507
Orange,1,Landover,25,-8559196.015,4712409.66
Orange,2,New Carrollton,26,-8557553.607,4713999.028
Orange,2,New Carrollton,26,-8557522.326,4714022.216
Orange,1,New Carrollton,26,-8557343.325,4714235.201
Orange,2,New Carrollton,26,-8557343.325,4714235.201
Orange,2,New Carrollton,26,-8557331.525,4714224.465
Silver,1,Wiehle,7,-8609100.097,4714036.529
Silver,1,Wiehle,7,-8609321.512,4714124.414
Silver,2,Wiehle,7,-8609481.367,4714209.007
Silver,1,Wiehle,7,-8609487.267,4714194.264
Silver,1,Reston Town Center,6,-8611423.892,4714857.72
Silver,2,Reston Town Center,6,-8611695.511,4714916.123
Silver,1,Reston Town Center,6,-8611697.849,4714900.377
Silver,2,Reston Town Center,6,-8611898.447,4714947.329
Silver,1,Herndon,5,-8614186.508,4714887.924
Silver,1,Herndon,5,-8614310.517,4714891.788
Silver,2,Herndon,5,-8614477.719,4714923.567
Silver,1,Herndon,5,-8614479.167,4714907.678
Silver,2,Herndon,5,-8614872.236,4714983.402
Silver,2,Innovation Center,4,-8617828.102,4716059.781
Silver,1,Innovation Center,4,-8617834.67,4716045.322
Silver,2,Innovation Center,4,-8618026.473,4716149.544
Silver,1,Dulles Airport,3,-8621140.08,4715390.807
Silver,2,Dulles Airport,3,-8621488.51,4715347.718
Silver,1,Dulles Airport,3,-8621488.621,4715331.828
Silver,2,Dulles Airport,3,-8621665.396,4715350.724
Silver,2,Dulles Airport,3,-8621809.778,4715400.255
Silver,1,Loudoun Gateway,2,-8622600.369,4720241.694
Silver,2,Loudoun Gateway,2,-8622878.333,4720537.88
Silver,1,Loudoun Gateway,2,-8622888.463,4720525.706
Silver,2,Loudoun Gateway,2,-8623089.84,4720699.869
Silver,1,Ashburn,1,-8626041.699,4722084.116
Silver,1,Ashburn,1,-8626243.188,4722321.193
Silver,2,Ashburn,1,-8626475.289,4722646.091
Silver,2,Ashburn,1,-8626483.749,4722639.931
