ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,x,y
505,7/26/2024 6:25:36 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  motion;,-8622888.463477796,4720525.705997929
322,7/26/2024 6:25:41 PM,Yellow,1,MT VERNON SQ,,-8576734.178080507,4697077.0556104425
13,7/26/2024 6:25:43 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570947.456990598,4711750.227204834
505,7/26/2024 6:25:41 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  motion;,-8622888.463477796,4720525.705997929
322,7/26/2024 6:25:46 PM,Yellow,1,MT VERNON SQ,,-8576734.178080507,4697077.0556104425
13,7/26/2024 6:25:48 PM,Red,2,SHADY GROVE,,-8570932.651498321,4711591.672124631
505,7/26/2024 6:25:46 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  motion;,-8622888.463477796,4720525.705997929
322,7/26/2024 6:25:51 PM,Yellow,1,MT VERNON SQ,,-8576756.441978663,4697376.281889265
13,7/26/2024 6:25:53 PM,Red,2,SHADY GROVE,,-8570920.072395863,4711428.254227686
505,7/26/2024 6:25:52 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  motion;,-8622888.463477796,4720525.705997929
322,7/26/2024 6:25:57 PM,Yellow,1,MT VERNON SQ,,-8576756.441978663,4697376.281889265
13,7/26/2024 6:25:58 PM,Red,2,SHADY GROVE,,-8570912.168712018,4711233.930590674
505,7/26/2024 6:25:57 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1; ,-8622888.463477796,4720525.705997929
322,7/26/2024 6:26:02 PM,Yellow,1,MT VERNON SQ,,-8576781.04358613,4697576.056769028
13,7/26/2024 6:26:03 PM,Red,2,SHADY GROVE,,-8570912.168712018,4711233.930590674
505,7/26/2024 6:26:02 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  Doors open left,-8622888.463477796,4720525.705997929
322,7/26/2024 6:26:07 PM,Yellow,1,MT VERNON SQ,,-8576781.04358613,4697576.056769028
13,7/26/2024 6:26:09 PM,Red,2,SHADY GROVE,,-8570947.123032127,4711008.416806625
505,7/26/2024 6:26:07 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  Doors open left,-8622888.463477796,4720525.705997929
322,7/26/2024 6:26:12 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:14 PM,Red,2,SHADY GROVE,,-8571060.446273753,4710651.268170114
505,7/26/2024 6:26:12 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1;  Doors open left,-8622888.463477796,4720525.705997929
322,7/26/2024 6:26:17 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:19 PM,Red,2,SHADY GROVE,,-8571060.446273753,4710651.268170114
505,7/26/2024 6:26:18 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1; ,-8622888.463477796,4720525.705997929
322,7/26/2024 6:26:22 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:24 PM,Red,2,SHADY GROVE,,-8571099.630734514,4710529.5028173
505,7/26/2024 6:26:23 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1; ,-8622888.463477796,4720525.705997929
322,7/26/2024 6:26:28 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1;  motion;,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:30 PM,Red,2,SHADY GROVE,,-8571099.630734514,4710529.5028173
505,7/26/2024 6:26:28 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1; ,0,0
322,7/26/2024 6:26:33 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1;  motion;,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:35 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  motion;,-8571156.6263138,4710352.080005761
505,7/26/2024 6:26:33 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1; ,-8622600.36863562,4720241.694351561
322,7/26/2024 6:26:38 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:40 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  motion;,-8571156.6263138,4710352.080005761
505,7/26/2024 6:26:39 PM,Silver,1,LARGO TOWN CENTER,Loudoun Gateway- Track 1; ,-8622600.36863562,4720241.694351561
322,7/26/2024 6:26:43 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1;  Doors open right,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:45 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  motion;,-8571156.6263138,4710352.080005761
505,7/26/2024 6:26:44 PM,Silver,1,LARGO TOWN CENTER,,-8622600.36863562,4720241.694351561
322,7/26/2024 6:26:49 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1;  Doors open right,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:51 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  motion;,-8571156.6263138,4710352.080005761
505,7/26/2024 6:26:49 PM,Silver,1,LARGO TOWN CENTER,,-8622600.36863562,4720241.694351561
322,7/26/2024 6:26:54 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1;  Doors open right,-8576765.904135382,4697807.274654163
13,7/26/2024 6:26:56 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  Doors open left,-8571156.6263138,4710352.080005761
505,7/26/2024 6:26:54 PM,Silver,1,LARGO TOWN CENTER,,-8622417.025434287,4719891.6677470505
322,7/26/2024 6:26:59 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576765.904135382,4697807.274654163
13,7/26/2024 6:27:01 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  Doors open left,-8571156.6263138,4710352.080005761
505,7/26/2024 6:27:00 PM,Silver,1,LARGO TOWN CENTER,,-8622417.025434287,4719891.6677470505
322,7/26/2024 6:27:04 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576765.904135382,4697807.274654163
13,7/26/2024 6:27:06 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  Doors open left,-8571156.6263138,4710352.080005761
505,7/26/2024 6:27:05 PM,Silver,1,LARGO TOWN CENTER,,-8622417.025434287,4719891.6677470505
322,7/26/2024 6:27:10 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576763.009828622,4697951.7527746735
13,7/26/2024 6:27:12 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  Doors open left,-8571156.6263138,4710352.080005761
505,7/26/2024 6:27:10 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:27:15 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,0,0
13,7/26/2024 6:27:14 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  Doors open left,-8571156.6263138,4710352.080005761
505,7/26/2024 6:27:15 PM,Silver,1,LARGO TOWN CENTER,,-8622260.510230232,4719519.598707592
322,7/26/2024 6:27:20 PM,Yellow,1,MT VERNON SQ,Potomac Yard- Track 1; ,-8576758.55704899,4698195.84114602
13,7/26/2024 6:27:22 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2; ,-8571156.6263138,4710352.080005761
505,7/26/2024 6:27:20 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:27:25 PM,Yellow,1,MT VERNON SQ,,-8576763.566426074,4698344.755078558
13,7/26/2024 6:27:27 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2;  motion;,-8571156.6263138,4710352.080005761
505,7/26/2024 6:27:25 PM,Silver,1,LARGO TOWN CENTER,,-8622125.257048916,4719220.435315121
322,7/26/2024 6:27:30 PM,Yellow,1,MT VERNON SQ,,-8576763.566426074,4698344.755078558
13,7/26/2024 6:27:32 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2; ,-8571203.04654146,4710207.997794281
505,7/26/2024 6:27:31 PM,Silver,1,LARGO TOWN CENTER,,-8622019.280893682,4718977.8459196035
322,7/26/2024 6:27:35 PM,Yellow,1,MT VERNON SQ,,-8576826.1279799,4698583.422070686
13,7/26/2024 6:27:37 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2; ,-8571203.04654146,4710207.997794281
505,7/26/2024 6:27:36 PM,Silver,1,LARGO TOWN CENTER,,-8622019.280893682,4718977.8459196035
322,7/26/2024 6:27:40 PM,Yellow,1,MT VERNON SQ,,-8576826.1279799,4698583.422070686
13,7/26/2024 6:27:42 PM,Red,2,SHADY GROVE,Rhode Island Avenue- Track 2; ,-8571269.392957974,4710022.28213099
505,7/26/2024 6:27:41 PM,Silver,1,LARGO TOWN CENTER,,-8621913.304738447,4718732.541529791
322,7/26/2024 6:27:46 PM,Yellow,1,MT VERNON SQ,,-8576915.406211518,4698756.209034939
13,7/26/2024 6:27:48 PM,Red,2,SHADY GROVE,,-8571344.53361426,4709887.218327759
505,7/26/2024 6:27:46 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:27:51 PM,Yellow,1,MT VERNON SQ,,-8576955.369908713,4698828.383119146
13,7/26/2024 6:27:53 PM,Red,2,SHADY GROVE,,-8571449.84185255,4709670.175704125
505,7/26/2024 6:27:51 PM,Silver,1,LARGO TOWN CENTER,,-8621740.425569246,4718332.448912939
322,7/26/2024 6:27:56 PM,Yellow,1,MT VERNON SQ,,-8576955.369908713,4698828.383119146
13,7/26/2024 6:27:58 PM,Red,2,SHADY GROVE,,-8571449.84185255,4709670.175704125
505,7/26/2024 6:27:56 PM,Silver,1,LARGO TOWN CENTER,,-8621740.425569246,4718332.448912937
322,7/26/2024 6:28:01 PM,Yellow,1,MT VERNON SQ,,-8577112.886988183,4699268.584662282
13,7/26/2024 6:28:03 PM,Red,2,SHADY GROVE,,-8571535.112582497,4709452.851582026
505,7/26/2024 6:28:02 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:28:06 PM,Yellow,1,MT VERNON SQ,,-8577112.886988183,4699268.584662282
13,7/26/2024 6:28:08 PM,Red,2,SHADY GROVE,,-8571571.736694967,4709359.571028796
505,7/26/2024 6:28:07 PM,Silver,1,LARGO TOWN CENTER,,-8621619.643921735,4717732.053213601
322,7/26/2024 6:28:11 PM,Yellow,1,MT VERNON SQ,,-8577112.886988183,4699268.584662282
13,7/26/2024 6:28:13 PM,Red,2,SHADY GROVE,,-8571669.586527376,4709110.2071315395
505,7/26/2024 6:28:12 PM,Silver,1,LARGO TOWN CENTER,,-8621619.643921735,4717732.053213601
322,7/26/2024 6:28:17 PM,Yellow,1,MT VERNON SQ,,-8577110.437959388,4699689.223615417
13,7/26/2024 6:28:18 PM,Red,2,SHADY GROVE,,-8571669.586527376,4709110.2071315395
505,7/26/2024 6:28:17 PM,Silver,1,LARGO TOWN CENTER,,-8621622.872186968,4717447.117537897
322,7/26/2024 6:28:24 PM,Yellow,1,MT VERNON SQ,,-8577110.437959388,4699689.223615417
15,7/26/2024 6:28:24 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:25 PM,Silver,1,LARGO TOWN CENTER,,-8621625.877813218,4717179.5143868225
322,7/26/2024 6:28:30 PM,Yellow,1,MT VERNON SQ,,-8576867.538830476,4699876.894517682
15,7/26/2024 6:28:29 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:30 PM,Silver,1,LARGO TOWN CENTER,,-8621625.877813218,4717179.5143868225
322,7/26/2024 6:28:35 PM,Yellow,1,MT VERNON SQ,,-8576867.538830476,4699876.894517682
15,7/26/2024 6:28:34 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:35 PM,Silver,1,LARGO TOWN CENTER,,-8621625.877813218,4717179.5143868225
322,7/26/2024 6:28:40 PM,Yellow,1,MT VERNON SQ,,-8576867.538830476,4699876.894517682
15,7/26/2024 6:28:39 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:41 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:28:45 PM,Yellow,1,MT VERNON SQ,,-8576642.673459074,4700003.677963414
15,7/26/2024 6:28:45 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:46 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:28:50 PM,Yellow,1,MT VERNON SQ,,-8576642.673459074,4700003.677963414
15,7/26/2024 6:28:50 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:51 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:28:56 PM,Yellow,1,MT VERNON SQ,,-8576447.530391714,4700145.614406691
15,7/26/2024 6:28:55 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:28:56 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:29:01 PM,Yellow,1,MT VERNON SQ,,-8576447.530391714,4700145.614406691
15,7/26/2024 6:29:00 PM,Red,1,TAKOMA,Takoma- Track 1; ,-8573693.597508978,4718428.53270731
505,7/26/2024 6:29:01 PM,Silver,1,LARGO TOWN CENTER,,-8621714.59944738,4716544.969487148
322,7/26/2024 6:29:06 PM,Yellow,1,MT VERNON SQ,,-8576399.217732709,4700243.098589955
15,7/26/2024 6:29:05 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816606
505,7/26/2024 6:29:06 PM,Silver,1,LARGO TOWN CENTER,,-8621714.59944738,4716544.969487148
322,7/26/2024 6:29:11 PM,Yellow,1,MT VERNON SQ,,-8576388.976339556,4700357.0219063405
15,7/26/2024 6:29:10 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816606
505,7/26/2024 6:29:12 PM,Silver,1,LARGO TOWN CENTER,,-8621714.59944738,4716544.969487148
322,7/26/2024 6:29:16 PM,Yellow,1,MT VERNON SQ,,-8576388.976339556,4700357.0219063405
15,7/26/2024 6:29:16 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816606
505,7/26/2024 6:29:17 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:29:22 PM,Yellow,1,MT VERNON SQ,,-8576409.459125862,4700448.933366702
15,7/26/2024 6:29:21 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816606
505,7/26/2024 6:29:22 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:29:27 PM,Yellow,1,MT VERNON SQ,,-8576409.459125862,4700448.933366702
15,7/26/2024 6:29:26 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816604
505,7/26/2024 6:29:27 PM,Silver,1,LARGO TOWN CENTER,,0,0
322,7/26/2024 6:29:32 PM,Yellow,1,MT VERNON SQ,,-8576428.717397768,4700509.826953536
15,7/26/2024 6:29:31 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816604
505,7/26/2024 6:29:32 PM,Silver,1,LARGO TOWN CENTER,,-8621954.826908512,4715987.341523213
322,7/26/2024 6:29:37 PM,Yellow,1,MT VERNON SQ,,-8576556.512173198,4700892.20699034
15,7/26/2024 6:29:36 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816606
505,7/26/2024 6:29:37 PM,Silver,1,LARGO TOWN CENTER,,-8621954.826908512,4715987.341523213
322,7/26/2024 6:29:42 PM,Yellow,1,MT VERNON SQ,,-8576556.512173198,4700892.20699034
15,7/26/2024 6:29:42 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816606
505,7/26/2024 6:29:43 PM,Silver,1,LARGO TOWN CENTER,,-8621954.826908512,4715987.341523213
322,7/26/2024 6:29:47 PM,Yellow,1,MT VERNON SQ,Ronald Reagan Washington National Airport- ,-8576505.416526925,4700713.094102258
15,7/26/2024 6:29:47 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816604
505,7/26/2024 6:29:48 PM,Silver,1,LARGO TOWN CENTER,,-8621954.826908512,4715987.341523213
322,7/26/2024 6:29:53 PM,Yellow,1,MT VERNON SQ,Ronald Reagan Washington National Airport- ,-8576505.416526925,4700713.094102258
15,7/26/2024 6:29:52 PM,Red,2,SHADY GROVE,Takoma- Track 1;  Doors open right,-8573611.22108579,4718240.661816604
505,7/26/2024 6:29:53 PM,Silver,1,LARGO TOWN CENTER,,-8621954.826908512,4715987.341523213
