ITT,TRACKLINE,TRIP_DIRECTION,DESCRIPTION,x,y
101,Red,2,Union Station- Track 2; ,-8572478.211308498,4706863.489939409
103,Yellow,2,L Enfant Plaza Upper- Track 2; ,-8574042.806751596,4705102.340196255
7,Blue,1,Addison Road-Seat Pleasant- Track 1;  Doors open left,-8559815.730550252,4705452.572146696
255,Blue,2,Stadium-Armory- Track 2;  Doors operating manually;,-8569056.584119983,4705487.610307085
150,Silver,1,Federal Center SW- Track 1; ,-8572946.421086773,4705215.602944315
37,Green,1,Columbia Heights- Track 1;  motion;,-8575213.77647525,4711292.599337955
201,Silver,2,Clarendon- Track 2;  Doors open right,-8582226.793075737,4705463.298101328
332,Blue,2,Rosslyn- Track 2; ,-8579494.344854726,4706789.971491729
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Branch Avenue- Track 1;  Doors open left,-8561780.074284792,4696886.578519149
2,Orange,1,Farragut West- Track 1;  Doors open right,-8576105.334277015,4707546.779255332
499,Red,2,Tenleytown-AU- Track 2;  motion;,-8580463.381022079,4714355.865219186
509,Green,1,College Park-U of MD- Track 1;  motion;,-8563616.623243898,4718561.562295126
322,Yellow,1,Braddock Road- Track 1;  motion;,-8577574.194958031,4695072.00935536
507,Yellow,1,Mt Vernon Sq- Track 1; ,-8574033.789872844,4708298.779621934
4,Red,1,Rhode Island Avenue- Track 1;  Doors open left,-8571141.486863052,4710347.358312003
225,Silver,2,Innovation Center- Track 2;  motion;,-8617828.102065315,4716059.781318219
13,Red,1,Union Station- Track 1;  motion;,-8572424.221355462,4706997.369257595
15,Red,1,Woodley Park Zoo/Adams Morgan- Track 1;  motion; Doors operating manually;,-8577473.005540902,4711011.564807201
323,Green,1,Naylor Road- Track 1;  motion;,-8566771.41761298,4700375.747190903
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
207,Blue,1,McPherson Square- Track 1; ,-8575154.220547676,4707546.636213195
257,Green,1,Gallery Place-Chinatown Lower- Track 1;  motion;,-8574031.452163536,4707125.3858543
114,Green,1,Greenbelt- Track 1; ,-8561620.887412956,4723382.305999677
18,Orange,2,Minnesota Avenue- Track 2;  motion;,-8565677.926254919,4707244.106598232
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
34,Red,1,Medical Center- Track 1;  Doors open left,-8582379.078139143,4721417.1790115135
43,Orange,1,West Falls Church- Track 1;  motion;,-8592664.219852004,4707457.521352545
42,Silver,1,Benning Road- Track 1; ,-8564772.342197314,4706074.410191953
45,Green,2,Congress Heights- Track 2;  motion;,-8570319.949020999,4699589.029068302
222,Red,1,Friendship Heights- Track 1;  Doors open left,-8581072.855234174,4715852.627785928
29,Blue,1,Stadium-Armory- Track 1;  Doors open left,-8569040.776752291,4705487.753320234
30,Orange,2,New Carrollton- Track 1; ,-8557331.52479371,4714224.465277678
505,Silver,2,Potomac Avenue- Track 2; ,-8570241.246141007,4704695.062363465
503,Silver,1,Greensboro- Track 1; ,-8597674.487493629,4710396.292335668
51,Orange,2,Eastern Market- Track 2; ,-8571352.659937086,4705266.51438886
47,Silver,1,East Falls Church- Track 1;  motion;,-8589074.945510358,4705351.748726643
337,Orange,2,Virginia Square- Track 2; ,-8583070.594815949,4704990.50877217
50,Green,1,Navy Yard-Ballpark- Track 1; ,-8572255.127048947,4703999.953461074
56,Red,1,Shady Grove- Track 2;  Doors open right,-8589924.4245446,4738869.26545955
48,Red,1,Fort Totten Upper- Track 1;  motion;,-8571905.472528366,4715002.011258859
62,Yellow,1,Huntington- Track 2; ,-8579974.577138007,4692310.341752544
271,Silver,2,Capitol Heights- Track 2;  motion;,-8561784.972342385,4705852.729430063
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,Foggy Bottom-GMU- Track 1;  Doors open left,-8577179.344724188,4707449.654107064
68,Green,2,Shaw/Howard U- Track 2; ,-8574048.372726137,4709291.327976672
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
71,Red,2,Rockville- Track 2;  motion;,-8587869.021466594,4733755.318552256
72,Green,2,College Park-U of MD- Track 2; ,-8563682.413062958,4718395.740967248
74,Red,1,Farragut North- Track 1;  Doors operating manually;,-8576023.959729245,4707804.544461503
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
76,Red,2,Grosvenor-Strathmore- Track 2;  Doors operating manually; Doors open left,-8583184.252016049,4725933.9011566285
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Ronald Reagan Washington National Airport- Track 2;  motion;,-8576514.990003135,4700705.660914121
92,Red,2,Woodley Park Zoo/Adams Morgan- Track 2;  Doors operating manually; Doors open left,-8577460.203799458,4711018.146993381
100,Red,2,Farragut North- Track 2;  motion;,-8576009.488195442,4707810.981523183
101,Red,2,Union Station- Track 2; ,-8572478.211308498,4706863.489939409
103,Yellow,2,L Enfant Plaza Upper- Track 2; ,-8574052.268908314,4704926.156208842
91,Silver,2,Greensboro- Track 2;  Doors open left,-8597661.351793714,4710404.877276421
7,Blue,1,Addison Road-Seat Pleasant- Track 1;  Doors open left,-8559815.730550252,4705452.572146696
255,Blue,2,Stadium-Armory- Track 2; ,-8569057.47467591,4705171.127143951
37,Green,1,Columbia Heights- Track 1;  motion;,-8575213.77647525,4711292.599337955
201,Silver,2,Clarendon- Track 2;  Doors open right,-8582226.793075737,4705463.298101328
332,Blue,2,Rosslyn- Track 2; ,-8579488.22228273,4706626.344794477
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Branch Avenue- Track 1;  Doors open left,-8561780.074284792,4696886.578519149
2,Orange,1,Farragut West- Track 1;  Doors open right,-8576105.334277015,4707546.779255332
499,Red,2,Tenleytown-AU- Track 2;  motion;,-8580463.381022079,4714355.865219186
509,Green,1,College Park-U of MD- Track 1;  motion;,-8563616.623243898,4718561.562295126
322,Yellow,1,Braddock Road- Track 1; ,-8577459.313243533,4695280.025428781
507,Yellow,1,Mt Vernon Sq- Track 1; ,0,0
4,Red,1,Rhode Island Avenue- Track 1;  Doors open left,-8571141.486863052,4710347.358312003
12,Orange,1,Court House- Track 1; ,-8581298.054564048,4705942.688330232
225,Silver,2,Innovation Center- Track 2;  motion;,-8617828.102065315,4716059.781318219
13,Red,1,Union Station- Track 1;  motion;,-8572424.221355462,4706997.369257595
15,Red,1,Woodley Park Zoo/Adams Morgan- Track 1;  motion;,-8577473.005540902,4711011.564807201
323,Green,1,Naylor Road- Track 1;  motion;,-8566771.41761298,4700375.747190903
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
207,Blue,1,McPherson Square- Track 1; ,-8575041.565222993,4707546.636213195
257,Green,1,Gallery Place-Chinatown Lower- Track 1;  motion;,-8574031.452163536,4707125.3858543
114,Green,1,Greenbelt- Track 1; ,-8561620.887412956,4723382.305999677
18,Orange,2,Minnesota Avenue- Track 2; ,-8565795.368317705,4707122.811202936
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
34,Red,1,Medical Center- Track 1; ,-8582379.078139143,4721417.1790115135
43,Orange,1,West Falls Church- Track 1;  Doors open left,-8592664.219852004,4707457.521352545
42,Silver,1,Benning Road- Track 1; ,-8564456.862760406,4705891.630478328
45,Green,2,Congress Heights- Track 2;  motion;,-8570319.949020999,4699589.029068302
222,Red,1,Friendship Heights- Track 1;  Doors open left,-8581072.855234174,4715852.627785928
29,Blue,1,Stadium-Armory- Track 1;  Doors operating manually;,-8569040.776752291,4705487.753320234
30,Orange,2,New Carrollton- Track 1; ,-8557331.52479371,4714224.465277678
503,Silver,1,Greensboro- Track 1; ,-8597490.587694837,4710179.095749823
51,Orange,2,Eastern Market- Track 2; ,-8571352.659937086,4705266.51438886
47,Silver,1,East Falls Church- Track 1; ,-8589074.945510358,4705351.748726643
337,Orange,2,Virginia Square- Track 2; ,-8583277.649068825,4704885.542800874
50,Green,1,Navy Yard-Ballpark- Track 1;  motion;,-8572255.127048947,4703999.953461074
56,Red,1,Shady Grove- Track 2;  Doors open right,-8589924.4245446,4738869.26545955
48,Red,1,Fort Totten Upper- Track 1; ,-8571834.116734767,4714772.40569312
62,Yellow,1,Huntington- Track 2; ,-8579974.577138007,4692310.341752544
271,Silver,2,Capitol Heights- Track 2;  motion;,-8561784.972342385,4705852.729430063
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,Foggy Bottom-GMU- Track 1; ,-8577179.344724188,4707449.654107064
68,Green,2,Shaw/Howard U- Track 2;  Doors operating manually; Doors open left,-8574048.372726137,4709291.327976672
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
71,Red,2,Rockville- Track 2; ,-8587869.021466594,4733755.318552256
74,Red,1,Farragut North- Track 1; ,-8575947.260600088,4707634.750552057
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Bethesda- Track 2; ,-8582019.51618388,4719278.57743749
76,Red,2,Grosvenor-Strathmore- Track 2; ,-8583184.252016049,4725933.9011566285
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Ronald Reagan Washington National Airport- Track 2;  Doors open left,-8576514.990003135,4700705.660914121
92,Red,2,Woodley Park Zoo/Adams Morgan- Track 2;  Doors operating manually;,-8577460.203799458,4711018.146993381
100,Red,2,Farragut North- Track 2;  Doors open left,-8576009.488195442,4707810.981523183
101,Red,2,Union Station- Track 2; ,-8572478.211308498,4706863.489939409
129,Green,2,Navy Yard-Ballpark- Track 2; ,-8572255.015729457,4703985.5112582175
116,Orange,2,Foggy Bottom-GMU- Track 2;  motion;,-8577178.34284877,4707465.674686113
91,Silver,2,Greensboro- Track 2;  Doors operating manually; Doors open left,-8597661.351793714,4710404.877276421
37,Green,1,Columbia Heights- Track 1;  motion;,-8575213.77647525,4711292.599337955
201,Silver,2,Clarendon- Track 2; ,-8582372.732928166,4705373.915492055
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Branch Avenue- Track 1;  Doors open left,-8561780.074284792,4696886.578519149
2,Orange,1,Farragut West- Track 1; ,-8576105.334277015,4707546.779255332
499,Red,2,Tenleytown-AU- Track 2;  Doors open left,-8580463.381022079,4714355.865219186
111,Orange,1,Cheverly- Track 1; ,-8562322.534163428,4709735.559842697
509,Green,1,College Park-U of MD- Track 1;  Doors operating manually; Doors open left,-8563616.623243898,4718561.562295126
507,Yellow,1,Mt Vernon Sq- Track 1; ,-8574041.025639743,4708636.9619097365
4,Red,1,Rhode Island Avenue- Track 1; ,-8571141.486863052,4710347.358312003
12,Orange,1,Court House- Track 1;  motion;,-8581298.054564048,4705942.688330232
225,Silver,2,Innovation Center- Track 2;  Doors open left,-8617828.102065315,4716059.781318219
203,Blue,1,Rosslyn- Track 1;  motion;,-8579478.42616754,4706790.54361767
13,Red,1,Union Station- Track 1; ,-8572424.221355462,4706997.369257595
15,Red,1,Woodley Park Zoo/Adams Morgan- Track 1;  motion;,-8577473.005540902,4711011.564807201
323,Green,1,Naylor Road- Track 1;  Doors open left,-8566771.41761298,4700375.747190903
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
257,Green,1,Gallery Place-Chinatown Lower- Track 1;  Doors open left,-8574031.452163536,4707125.3858543
114,Green,1,Greenbelt- Track 1; ,-8561620.887412956,4723382.305999677
18,Orange,2,Minnesota Avenue- Track 2; ,-8565795.368317705,4707122.811202936
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
34,Red,1,Medical Center- Track 1; ,-8582364.495285846,4721245.581550602
43,Orange,1,West Falls Church- Track 1;  Doors open left,-8592664.219852004,4707457.521352545
45,Green,2,Congress Heights- Track 2;  motion;,-8570319.949020999,4699589.029068302
222,Red,1,Friendship Heights- Track 1; ,-8580989.81089404,4715643.474295754
29,Blue,1,Stadium-Armory- Track 1; ,-8569037.77112604,4705749.184718693
30,Orange,2,New Carrollton- Track 1; ,-8557331.52479371,4714224.465277678
503,Silver,1,Greensboro- Track 1; ,-8597490.587694837,4710179.095749823
51,Orange,2,Eastern Market- Track 2; ,-8571352.659937086,4705266.51438886
47,Silver,1,East Falls Church- Track 1;  Doors open left,-8589074.945510358,4705351.748726643
50,Green,1,Navy Yard-Ballpark- Track 1;  motion;,-8572255.127048947,4703999.953461074
56,Red,1,Shady Grove- Track 2;  Doors open right,-8589924.4245446,4738869.26545955
48,Red,1,Fort Totten Upper- Track 1;  Doors open left,-8571834.116734767,4714772.40569312
62,Yellow,1,Huntington- Track 2; ,-8579974.577138007,4692310.341752544
271,Silver,2,Capitol Heights- Track 2;  motion;,-8561784.972342385,4705852.729430063
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
297,Silver,1,Foggy Bottom-GMU- Track 1; ,-8576849.83903144,4707451.370596466
68,Green,2,Shaw/Howard U- Track 2;  Doors operating manually;,-8574048.372726137,4709291.327976672
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
71,Red,2,Rockville- Track 2;  Doors open left,-8587869.021466594,4733755.318552256
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Bethesda- Track 2;  motion;,-8582019.51618388,4719278.57743749
76,Red,2,Grosvenor-Strathmore- Track 2; ,-8583317.278807547,4726283.993242725
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Ronald Reagan Washington National Airport- Track 2;  Doors open left,-8576514.990003135,4700705.660914121
92,Red,2,Woodley Park Zoo/Adams Morgan- Track 2; ,-8577557.27439543,4711232.785838004
100,Red,2,Farragut North- Track 2;  Doors open left,-8576009.488195442,4707810.981523183
101,Red,2,Union Station- Track 2; ,-8572478.211308498,4706863.489939409
129,Green,2,Navy Yard-Ballpark- Track 2;  motion;,-8572255.015729457,4703985.5112582175
116,Orange,2,Foggy Bottom-GMU- Track 2;  motion;,-8577178.34284877,4707465.674686113
91,Silver,2,Greensboro- Track 2;  Doors operating manually; Doors open left,-8597661.351793714,4710404.877276421
150,Silver,1,Capitol South- Track 1; ,-8572181.544865534,4705215.459934998
37,Green,1,Columbia Heights- Track 1;  Doors open left,-8575213.77647525,4711292.599337955
201,Silver,2,Clarendon- Track 2; ,-8582563.868493859,4705258.219810272
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Branch Avenue- Track 1;  Doors open left,-8561780.074284792,4696886.578519149
2,Orange,1,Farragut West- Track 1; ,-8575904.847874096,4707546.779255332
499,Red,2,Tenleytown-AU- Track 2;  Doors operating manually; Doors open left,-8580463.381022079,4714355.865219186
111,Orange,1,Cheverly- Track 1;  motion;,-8562322.534163428,4709735.559842697
509,Green,1,College Park-U of MD- Track 1;  Doors operating manually;,-8563616.623243898,4718561.562295126
4,Red,1,Rhode Island Avenue- Track 1; ,-8571081.708296495,4710534.940016944
12,Orange,1,Court House- Track 1;  motion;,-8581298.054564048,4705942.688330232
225,Silver,2,Innovation Center- Track 2;  Doors open left,-8617828.102065315,4716059.781318219
203,Blue,1,Rosslyn- Track 1;  motion;,-8579478.42616754,4706790.54361767
13,Red,1,Union Station- Track 1;  Doors open left,-8572424.221355462,4706997.369257595
15,Red,1,Woodley Park Zoo/Adams Morgan- Track 1; ,-8577473.005540902,4711011.564807201
323,Green,1,Naylor Road- Track 1;  Doors operating manually; Doors open left,-8566771.41761298,4700375.747190903
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
23,Yellow,2,Crystal City- Track 2; ,-8577230.10641199,4701326.922661427
341,Blue,2,Federal Center SW- Track 2;  motion;,-8573376.448279709,4705230.18990516
257,Green,1,Gallery Place-Chinatown Lower- Track 1;  Doors open left,-8574031.452163536,4707125.3858543
114,Green,1,Greenbelt- Track 1; ,-8561620.887412956,4723382.305999677
18,Orange,2,Minnesota Avenue- Track 2; ,-8565795.368317705,4707122.811202936
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
34,Red,1,Medical Center- Track 1; ,-8582349.578474082,4721069.403540667
43,Orange,1,West Falls Church- Track 1; ,-8592664.219852004,4707457.521352545
45,Green,2,Congress Heights- Track 2;  Doors open left,-8570319.949020999,4699589.029068302
222,Red,1,Friendship Heights- Track 1; ,-8580989.81089404,4715643.474295754
29,Blue,1,Stadium-Armory- Track 1; ,-8569037.77112604,4705749.184718693
30,Orange,2,New Carrollton- Track 1; ,-8557331.52479371,4714224.465277678
51,Orange,2,Eastern Market- Track 2; ,-8571352.659937086,4705266.51438886
47,Silver,1,East Falls Church- Track 1;  Doors operating manually;,-8589074.945510358,4705351.748726643
50,Green,1,Navy Yard-Ballpark- Track 1;  Doors open left,-8572255.127048947,4703999.953461074
56,Red,1,Shady Grove- Track 2;  Doors open right,-8589924.4245446,4738869.26545955
48,Red,1,Fort Totten Upper- Track 1;  Doors open left,-8571834.116734767,4714772.40569312
62,Yellow,1,Huntington- Track 2; ,-8579974.577138007,4692310.341752544
271,Silver,2,Capitol Heights- Track 2; ,-8561784.972342385,4705852.729430063
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
68,Green,2,Shaw/Howard U- Track 2; ,-8574048.372726137,4709123.798236076
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
71,Red,2,Rockville- Track 2; ,-8587869.021466594,4733755.318552256
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Bethesda- Track 2;  motion;,-8582019.51618388,4719278.57743749
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Ronald Reagan Washington National Airport- Track 2; ,-8576514.990003135,4700705.660914121
92,Red,2,Woodley Park Zoo/Adams Morgan- Track 2; ,-8577557.27439543,4711232.785838004
100,Red,2,Farragut North- Track 2;  Doors open left,-8576009.488195442,4707810.981523183
101,Red,2,Union Station- Track 2; ,-8572478.211308498,4706863.489939409
129,Green,2,Navy Yard-Ballpark- Track 2;  motion;,-8572255.015729457,4703985.5112582175
116,Orange,2,Foggy Bottom-GMU- Track 2;  motion;,-8577178.34284877,4707465.674686113
91,Silver,2,Greensboro- Track 2;  Doors operating manually;,-8597661.351793714,4710404.877276421
7,Blue,1,Addison Road-Seat Pleasant- Track 1; ,-8559392.82780473,4705455.861438246
150,Silver,1,Capitol South- Track 1;  motion;,-8572181.544865534,4705215.459934998
37,Green,1,Columbia Heights- Track 1;  Doors open left,-8575213.77647525,4711292.599337955
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Branch Avenue- Track 1;  Doors operating manually;,-8561780.074284792,4696886.578519149
2,Orange,1,Farragut West- Track 1; ,-8575764.473996205,4707546.779255332
499,Red,2,Tenleytown-AU- Track 2;  Doors operating manually;,-8580463.381022079,4714355.865219186
111,Orange,1,Cheverly- Track 1;  motion;,-8562322.534163428,4709735.559842697
509,Green,1,College Park-U of MD- Track 1; ,-8563561.186137484,4718745.4295286555
128,Silver,2,Rosslyn- Track 2; ,-8579494.344854726,4706789.971491729
4,Red,1,Rhode Island Avenue- Track 1; ,-8571039.184251012,4710695.195630018
12,Orange,1,Court House- Track 1; ,-8581298.054564048,4705942.688330232
225,Silver,2,Innovation Center- Track 2;  motion;,-8617828.102065315,4716059.781318219
203,Blue,1,Rosslyn- Track 1;  motion;,-8579478.42616754,4706790.54361767
13,Red,1,Union Station- Track 1; ,-8572424.221355462,4706997.369257595
15,Red,1,Woodley Park Zoo/Adams Morgan- Track 1;  Doors open left,-8577473.005540902,4711011.564807201
323,Green,1,Naylor Road- Track 1;  Doors operating manually;,-8566771.41761298,4700375.747190903
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
23,Yellow,2,Crystal City- Track 2;  motion;,-8577230.10641199,4701326.922661427
24,Blue,1,Ronald Reagan Washington National Airport- ,-8576505.416526925,4700713.094102258
207,Blue,1,Metro Center Lower- Track 1; ,-8574736.661137713,4707116.946721713
341,Blue,2,Federal Center SW- Track 2;  motion;,-8573376.448279709,4705230.18990516
11,Red,2,Rhode Island Avenue- Track 2; ,-8571156.6263138,4710352.080005761
257,Green,1,Gallery Place-Chinatown Lower- Track 1; ,-8574031.452163536,4707125.3858543
114,Green,1,Greenbelt- Track 1; ,-8561620.887412956,4723382.305999677
18,Orange,2,Minnesota Avenue- Track 2; ,-8565961.345678477,4706952.170487057
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
43,Orange,1,West Falls Church- Track 1; ,-8592385.030569095,4707461.812579923
45,Green,2,Congress Heights- Track 2;  Doors open left,-8570319.949020999,4699589.029068302
30,Orange,2,New Carrollton- Track 1; ,-8557331.52479371,4714224.465277678
51,Orange,2,Eastern Market- Track 2; ,-8571448.283379678,4705303.697065735
47,Silver,1,East Falls Church- Track 1;  motion;,-8589074.945510358,4705351.748726643
50,Green,1,Navy Yard-Ballpark- Track 1;  Doors open left,-8572255.127048947,4703999.953461074
56,Red,1,Shady Grove- Track 2;  Doors open right,-8589924.4245446,4738869.26545955
48,Red,1,Fort Totten Upper- Track 1; ,-8571834.116734767,4714772.40569312
62,Yellow,1,Huntington- Track 2; ,-8579974.577138007,4692310.341752544
271,Silver,2,Capitol Heights- Track 2;  Doors open left,-8561784.972342385,4705852.729430063
117,Green,2,Branch Avenue- Track 2; ,-8561648.605966164,4696762.69173254
36,Orange,1,Potomac Avenue- Track 1; ,-8569995.675344316,4704671.610064006
64,Red,2,Shady Grove- Track 1; ,-8590023.276252426,4738995.8200239185
68,Green,2,Shaw/Howard U- Track 2; ,-8574048.372726137,4708996.757884394
69,Orange,2,Vienna-Fairfax-GMU- Track 1; ,-8602072.163977416,4704111.916977605
71,Red,2,Rockville- Track 2; ,-8588013.514165644,4733916.372028163
82,Yellow,2,Huntington- Track 1; ,-8580012.314445386,4691896.5775552485
80,Red,2,Bethesda- Track 2; ,-8582019.51618388,4719278.57743749
14,Blue,1,Franconia-Springfield- Track 1; ,-8590175.56131583,4688338.927904162
65,Blue,2,Ronald Reagan Washington National Airport- Track 2;  motion;,-8576514.990003135,4700705.660914121
100,Red,2,Farragut North- Track 2;  Doors open left,-8576009.488195442,4707810.981523183
101,Red,2,Union Station- Track 2; ,-8572488.675340632,4706827.588841088
129,Green,2,Navy Yard-Ballpark- Track 2; ,-8572255.015729457,4703985.5112582175
